Start Time:
2019-03-16 00:43

Agent #1
  Alpha     Gamma    Epsilon    Sample   Update 
  0.0015    0.990     1.000       50       2    

Episodes Epsilon   Episode_Reward  Average_Reward  Training_Loss    Episode_Step  
  250     0.001       -160.828        142.169         1805.007          392       
  251     0.001       220.860         142.892         4295.885          798       
  252     0.001       179.335         142.504         2264.221          527       
  253     0.001       223.472         144.379         4016.184          754       
  254     0.001        0.611          144.317         4999.493          999       
  255     0.001       261.084         145.833         1097.009          232       
  256     0.001       255.819         146.551         2152.042          397       
  257     0.001       258.256         147.319         2070.788          576       
  258     0.001       255.231         148.672         1675.600          362       
  259     0.001        86.210         146.648         3648.864          702       
  260     0.001       229.143         150.810         2770.006          535       
  261     0.001       203.589         152.742         4205.890          824       
  262     0.001       248.776         154.596         1805.455          359       
  263     0.001       -23.930         156.405         3819.887          999       
  264     0.001       154.220         158.500         3312.220          720       
  265     0.001       209.470         161.172         3091.633          631       
  266     0.001       145.569         162.020         3030.420          713       
  267     0.001       264.688         165.723         1771.462          415       
  268     0.001       240.143         165.753         1838.428          404       
  269     0.001       193.068         168.122         1418.579          344       
  270     0.001       231.655         172.104         2431.292          498       
  271     0.001        -4.381         169.560         4174.082          999       
  272     0.001       199.717         171.308         2371.074          435       
  273     0.001       253.910         171.904         1992.719          405       
  274     0.001       251.561         176.400         1568.473          362       
  275     0.001       256.077         179.272         1380.624          349       
  276     0.001       -201.789        176.458         125.284            58       
  277     0.001       234.454         176.059         2471.663          524       
  278     0.001       256.373         176.220         816.807           249       
  279     0.001       248.144         175.893         2057.671          512       
  280     0.001       269.983         176.329         1407.271          240       
  281     0.001       196.031         175.628         3339.234          685       
  282     0.001       239.103         176.178         1960.926          458       
  283     0.001       269.487         176.203         1771.361          411       
  284     0.001       185.865         175.908         3905.987          823       
  285     0.001       211.273         176.338         1710.478          449       
  286     0.001       234.048         177.279         1100.627          351       
  287     0.001       207.036         180.545         2276.682          406       
  288     0.001       278.523         181.803         1490.937          304       
  289     0.001       256.995         183.230         1748.212          462       
  290     0.001       196.847         183.300         1568.740          354       
  291     0.001       -94.908         180.332         3011.897          470       
  292     0.001       142.181         179.413         1789.312          407       
  293     0.001       238.995         179.465         2019.975          600       
  294     0.001       160.305         178.595         2831.800          655       
  295     0.001       223.702         178.260         2167.705          509       
  296     0.001       272.784         178.743         1445.620          439       
  297     0.001       254.846         178.702         988.779           321       
  298     0.001       226.900         179.163         1722.020          451       
  299     0.001       223.951         179.006         1802.451          476       
  300     0.001       234.126         178.425         1834.052          413       
  301     0.001       248.865         180.201         1796.946          408       
  302     0.001       218.000         180.103         1584.026          397       
  303     0.001       253.277         180.378         886.789           258       
  304     0.001       253.493         181.742         1287.863          260       
  305     0.001       259.995         181.871         1691.856          339       
  306     0.001       225.873         181.056         1671.770          438       
  307     0.001       265.182         181.334         851.472           263       
  308     0.001       -465.339        174.456         607.888           188       
  309     0.001       282.360         176.668         786.730           210       
  310     0.001       270.765         176.306         1773.644          455       
  311     0.001       218.375         179.177         1489.995          300       
  312     0.001       231.260         179.137         1602.381          334       
  313     0.001       219.374         178.611         1505.898          308       
  314     0.001       150.931         178.280         3100.513          597       
  315     0.001       251.364         178.223         1314.493          304       
  316     0.001       -63.661         174.920         265.558            80       
  317     0.001       213.637         178.630         3273.346          708       
  318     0.001       249.748         179.036         1997.842          465       
  319     0.001       -267.953        174.303         1340.272          310       
  320     0.001       237.315         174.349         1546.541          449       
  321     0.001       204.915         173.941         1629.802          405       
  322     0.001       216.859         173.458         1799.489          435       
  323     0.001       247.983         173.138         1109.355          330       
  324     0.001       227.098         173.381         1358.875          363       
  325     0.001       175.375         174.264         1973.181          394       
  326     0.001       183.723         174.253         2710.640          505       
  327     0.001       290.680         174.925         1338.840          305       
  328     0.001       249.755         174.708         1156.576          294       
  329     0.001       258.365         175.776         1103.086          307       
  330     0.001       267.476         176.487         1869.640          454       
  331     0.001       226.392         175.999         2219.359          424       
  332     0.001       276.460         176.142         1488.539          323       
  333     0.001       254.661         177.440         1551.881          379       
  334     0.001       256.737         178.531         1083.844          269       
  335     0.001       227.076         182.841         2197.212          586       
  336     0.001       239.874         182.424         1795.410          415       
  337     0.001       258.866         182.490         1898.032          437       
  338     0.001       264.954         185.234         1605.279          401       
  339     0.001       -222.634        183.080         2804.999          579       
  340     0.001       215.333         185.799         1784.093          421       
  341     0.001       228.323         185.420         1052.932          392       
  342     0.001       272.128         185.924         1699.695          394       
  343     0.001       244.045         191.090         2222.837          619       
  344     0.001       -39.133         191.409         1385.156          275       
  345     0.001       259.346         191.489         1586.269          381       
  346     0.001       256.736         191.707         1095.659          372       
  347     0.001       227.268         191.316         1217.758          342       
  348     0.001       270.355         191.517         2012.205          469       
  349     0.001       169.832         190.603         2599.069          691       
  350     0.001       249.200         194.703         2062.290          557       
  351     0.001       244.089         194.935         1959.596          522       
  352     0.001       254.961         195.692         1305.403          337       
  353     0.001       252.236         195.979         1593.239          413       
  354     0.001       254.801         198.521         781.932           283       
  355     0.001       239.453         198.305         2088.595          488       
  356     0.001       228.485         198.032         1502.744          369       
  357     0.001       232.890         197.778         3076.437          693       
  358     0.001       191.087         197.137         1693.553          459       
  359     0.001       257.378         198.848         1521.779          351       
  360     0.001       185.774         198.415         1545.853          492       
  361     0.001       236.025         198.739         1191.602          418       
  362     0.001       236.151         198.613         691.069           195       
  363     0.001       238.409         201.236         1408.474          391       

End Time: 
2019-03-16 01:01
Time Used:
0:17:55.864984
